SimNum,Stage,Scenario,Model,Cost
31,6,4.0,Expected,0.0
31,7,2.0,Expected,0.8
31,8,5.0,Expected,0.1
31,9,3.0,Expected,0.0
31,10,3.0,Expected,0.0
31,11,5.0,Expected,0.2
31,12,2.0,Expected,0.3
31,13,2.0,Expected,0.2
31,14,2.0,Expected,0.2
31,15,3.0,Expected,0.0
31,16,4.0,Expected,0.1
31,17,3.0,Expected,0.8
31,18,4.0,Expected,0.5
31,19,4.0,Expected,0.6
31,20,5.0,Expected,0.2
31,21,4.0,Expected,0.1
31,22,4.0,Expected,0.1
31,23,4.0,Expected,0.1
31,24,4.0,Expected,0.1
32,1,4.0,Expected,0.30000000000000004
32,2,4.0,Expected,0.30000000000000004
32,3,4.0,Expected,0.30000000000000004
32,4,4.0,Expected,0.30000000000000004
32,5,2.0,Expected,0.1
32,6,5.0,Expected,0.1
32,7,2.0,Expected,0.8
32,8,5.0,Expected,0.1
32,9,2.0,Expected,0.2
32,10,2.0,Expected,0.2
32,11,3.0,Expected,0.0
32,12,3.0,Expected,0.0
32,13,4.0,Expected,0.1
32,14,2.0,Expected,0.2
32,15,3.0,Expected,0.0
32,16,5.0,Expected,0.2
32,17,5.0,Expected,0.0
32,18,3.0,Expected,1.0
32,19,3.0,Expected,1.2
32,20,5.0,Expected,0.2
32,21,4.0,Expected,0.1
32,22,4.0,Expected,0.1
32,23,4.0,Expected,0.1
32,24,2.0,Expected,0.3
33,1,2.0,Expected,0.1
33,2,2.0,Expected,0.1
33,3,3.0,Expected,0.2
33,4,4.0,Expected,0.30000000000000004
33,5,3.0,Expected,0.2
33,6,4.0,Expected,0.0
33,7,5.0,Expected,0.1
33,8,5.0,Expected,0.1
33,9,3.0,Expected,0.0
33,10,3.0,Expected,0.0
33,11,5.0,Expected,0.2
33,12,2.0,Expected,0.3
33,13,3.0,Expected,0.0
33,14,3.0,Expected,0.0
33,15,5.0,Expected,0.2
33,16,5.0,Expected,0.2
33,17,4.0,Expected,0.4
33,18,4.0,Expected,0.5
33,19,2.0,Expected,1.7999999999999998
33,20,5.0,Expected,0.2
33,21,3.0,Expected,0.0
33,22,5.0,Expected,0.2
33,23,4.0,Expected,0.1
33,24,2.0,Expected,0.3
34,1,3.0,Expected,0.2
34,2,2.0,Expected,0.1
34,3,3.0,Expected,0.2
34,4,5.0,Expected,0.4
34,5,3.0,Expected,0.2
34,6,3.0,Expected,0.2
34,7,5.0,Expected,0.1
34,8,4.0,Expected,0.0
34,9,4.0,Expected,0.1
34,10,5.0,Expected,0.2
34,11,4.0,Expected,0.1
34,12,2.0,Expected,0.3
34,13,5.0,Expected,0.2
34,14,4.0,Expected,0.1
34,15,3.0,Expected,0.0
34,16,4.0,Expected,0.1
34,17,3.0,Expected,0.8
34,18,5.0,Expected,0.0
34,19,2.0,Expected,1.7999999999999998
34,20,4.0,Expected,0.1
34,21,3.0,Expected,0.0
34,22,2.0,Expected,0.3
34,23,5.0,Expected,0.2
34,24,5.0,Expected,0.2
35,1,4.0,Expected,0.30000000000000004
35,2,3.0,Expected,0.2
35,3,5.0,Expected,0.4
35,4,5.0,Expected,0.4
35,5,5.0,Expected,0.4
35,6,3.0,Expected,0.2
35,7,4.0,Expected,0.0
35,8,5.0,Expected,0.1
35,9,5.0,Expected,0.2
35,10,2.0,Expected,0.2
35,11,2.0,Expected,0.3
35,12,5.0,Expected,0.2
35,13,4.0,Expected,0.1
35,14,4.0,Expected,0.1
35,15,5.0,Expected,0.2
35,16,2.0,Expected,0.2
35,17,3.0,Expected,0.8
35,18,4.0,Expected,0.5
35,19,2.0,Expected,1.7999999999999998
35,20,2.0,Expected,0.5
35,21,4.0,Expected,0.1
35,22,2.0,Expected,0.3
35,23,4.0,Expected,0.1
35,24,2.0,Expected,0.3
36,1,5.0,Expected,0.4
36,2,5.0,Expected,0.4
36,3,5.0,Expected,0.4
36,4,4.0,Expected,0.30000000000000004
36,5,5.0,Expected,0.4
36,6,4.0,Expected,0.0
